"AccountID","AccountNumber","AccountName","AccountNameEnglish","ParentID"
"7AE72FE6-7E2C-49FF-B2D6-71A9B77380B8","3533",Quỹ phúc lợi đã hình thành TSCĐ,Welfare fund used to acquire fixed assets,"839FF78E-97AF-401F-B8D0-8F5654BCF380"
"7F7DB1CB-93EF-4388-A82C-D19EAC4D7BA9","3534",Quỹ thưởng ban quản lý điều hành công ty,Reward fund for management and operating company,"839FF78E-97AF-401F-B8D0-8F5654BCF380"
"0892A5E1-F0FC-441B-94B7-EAD4027E0857","356",Quỹ phát triển khoa học và công nghệ,Development of science and technology fund,
B9E4A7BC-1BDE-4E53-8446-0926004C74E9,"3561",Quỹ phát triển khoa học và công nghệ,Development of science and technology fund,"0892A5E1-F0FC-441B-94B7-EAD4027E0857"
BEEEFFA6-0C17-4F0D-BBF4-396B5D4AA119,"3562",Quỹ phát triển khoa học và công nghệ đã hình thành TSCĐ,Development of science and technology fund used to fixed assets,"0892A5E1-F0FC-441B-94B7-EAD4027E0857"
CD68CD44-9D59-495D-B25E-E21B0398A645,"411",Vốn đầu tư của chủ sở hữu,Working capital,
"272B2AE1-2BAE-449F-8B70-BF208BC8709D","4111",Vốn góp của chủ sở hữu,Contributed legal capital,CD68CD44-9D59-495D-B25E-E21B0398A645
"2D3E1E1F-BB09-4D71-8A13-A0459401AED6","4112",Thặng dư vốn cổ phần,Share premium,CD68CD44-9D59-495D-B25E-E21B0398A645
"7E10C35A-C666-43BA-B764-1A107507017A","4118",Vốn khác,Other capital,CD68CD44-9D59-495D-B25E-E21B0398A645
"9EC748D7-C731-485D-A85F-6D1C18C2CB44","413",Chênh lệch tỷ giá hối đoái,Foreign exchange differences,
"37692106-B37D-46FF-919A-22C8B565D027","418",Các quỹ thuộc vốn chủ sở hữu,Other funds,
F36FD013-FFB3-4B09-AFFD-F62328AEEB02,"419",Cổ phiếu quỹ,Treasury stock,
"993CD4C2-C45B-4C19-9B6D-3CD976EE5000","421",Lợi nhuận sau thuế chưa phân phối,Undistributed earnings,
"0C05AB9A-9E3C-4F18-B121-76C505ACA77A","4211",Lợi nhuận sau thuế chưa phân phối năm trước,Previous year undistributed earnings,"993CD4C2-C45B-4C19-9B6D-3CD976EE5000"
"17C49D26-B2DF-41BA-8E80-139CEE2F60C4","4212",Lợi nhuận sau thuế chưa phân phối năm nay,This year undistributed earnings,"993CD4C2-C45B-4C19-9B6D-3CD976EE5000"
F6D792EE-54E4-44EF-B56A-6578BAE92FC8,"511",Doanh thu bán hàng và cung cấp dịch vụ,Sales,
"24B0CD62-FA47-49A5-8F4E-D6E106444805","5111",Doanh thu bán hàng hóa,Goods sale,F6D792EE-54E4-44EF-B56A-6578BAE92FC8
EB264106-A0DD-4FFA-BD5F-719C658487F8,"5112",Doanh thu bán thành phẩm,Finished product sale,F6D792EE-54E4-44EF-B56A-6578BAE92FC8
"4562D751-1266-49ED-B81C-A8798357432E","5113",Doanh thu cung cấp dịch vụ,Turnover from service provision,F6D792EE-54E4-44EF-B56A-6578BAE92FC8
"36D4A628-3CC7-48CB-992C-98A197AE0374","5118",Doanh thu khác,Other sales,F6D792EE-54E4-44EF-B56A-6578BAE92FC8
D2A7C4B4-16FF-437D-8727-CBCDBB202FCA,"515",Doanh thu hoạt động tài chính,Turnover from financial operations,
"81171F67-A610-4EFB-8165-BE0DA14563BD","611",Mua hàng,Purchase,
BE501F8A-DA4F-4E0B-BA43-A21A82F44404,"631",Giá thành sản xuất,Production cost,
"5BF7D2FD-7CE1-408E-B70A-7018B8D23166","632",Giá vốn hàng bán,Cost of goods sold,
"712E2415-C6AB-43DD-81D9-A123510202CA","635",Chi phí tài chính,Financial activities expenses,
"8A17553D-DDE5-49FD-9D19-9CA08F606FCA","642",Chi phí quản lý kinh doanh,Business management expenses,
"96F1897D-E08F-49B9-AE81-646258BAA845","6421",Chi phí bán hàng,Selling expenses,"8A17553D-DDE5-49FD-9D19-9CA08F606FCA"
"5991FB60-4BB0-404E-AFE4-70A1EEE77679","6422",Chi phí quản lý doanh nghiệp,General & administration expenses,"8A17553D-DDE5-49FD-9D19-9CA08F606FCA"
"1814F5F0-1A6B-47BD-8583-2BEA13F97798","711",Thu nhập khác,Other income,
"2E62D36A-D8ED-45C2-820F-ACE312B12F67","811",Chi phí khác,Other expenses,
"594EEF86-D7B9-434A-BD42-9BD73E034719","821",Chi phí thuế thu nhập doanh nghiệp,Business Income tax charge,
"8955A166-0CC6-4FE8-950D-780851A63E62","911",Xác định kết quả kinh doanh,Evaluation of business results,
